iter	Passed	Remaining
0	168	167912
1	169	84587
2	170	56788
3	172	42950
4	173	34605
5	175	29095
6	177	25110
7	178	22113
8	179	19818
9	181	17932
10	182	16440
11	184	15197
12	186	14189
13	188	13262
14	189	12449
15	190	11733
16	192	11110
17	193	10557
18	195	10112
19	197	9658
20	198	9257
21	203	9036
22	204	8685
23	205	8358
24	207	8107
25	212	7944
26	213	7690
27	214	7449
28	218	7301
29	219	7094
30	222	6943
31	223	6762
32	224	6588
33	226	6423
34	227	6267
35	228	6121
36	231	6020
37	232	5894
38	236	5825
39	238	5712
40	242	5667
41	244	5571
42	245	5469
43	247	5366
44	248	5275
45	249	5182
46	251	5089
47	252	4999
48	253	4913
49	254	4831
50	255	4750
51	256	4674
52	258	4621
53	262	4604
54	263	4535
55	265	4471
56	266	4408
57	267	4347
58	269	4290
59	269	4229
60	271	4171
61	273	4141
62	275	4102
63	277	4054
64	278	4004
65	279	3958
66	281	3914
67	281	3860
68	282	3816
69	284	3776
70	285	3734
71	289	3730
72	290	3692
73	292	3654
74	293	3615
75	294	3577
76	295	3540
77	296	3503
78	297	3470
79	298	3434
80	299	3399
81	300	3365
82	304	3367
83	305	3334
84	306	3300
85	307	3269
86	308	3234
87	309	3204
88	310	3176
89	311	3147
90	312	3119
91	313	3092
92	314	3064
93	315	3039
94	316	3013
95	318	2998
96	319	2973
97	320	2949
98	321	2925
99	322	2901
100	323	2878
101	323	2851
102	324	2829
103	325	2807
104	326	2786
105	327	2765
106	328	2744
107	333	2755
108	334	2736
109	335	2716
110	336	2697
111	337	2678
112	338	2660
113	339	2641
114	341	2625
115	342	2606
116	343	2593
117	345	2580
118	346	2563
119	350	2569
120	351	2556
121	353	2540
122	353	2521
123	354	2504
124	355	2488
125	356	2474
126	358	2462
127	360	2456
128	363	2453
129	364	2441
130	366	2428
131	367	2413
132	368	2399
133	368	2384
134	370	2371
135	371	2358
136	373	2352
137	374	2339
138	375	2328
139	377	2316
140	379	2309
141	380	2299
142	381	2287
143	383	2279
144	384	2270
145	386	2260
146	388	2255
147	393	2266
148	395	2259
149	396	2248
150	398	2240
151	400	2236
152	402	2226
153	404	2219
154	408	2228
155	411	2225
156	413	2221
157	416	2219
158	418	2211
159	419	2203
160	423	2205
161	424	2195
162	425	2185
163	426	2175
164	427	2165
165	429	2156
166	430	2146
167	431	2136
168	432	2126
169	433	2118
170	435	2109
171	438	2109
172	439	2100
173	441	2095
174	443	2089
175	444	2082
176	445	2073
177	447	2064
178	448	2057
179	450	2051
180	451	2040
181	452	2033
182	453	2024
183	464	2062
184	477	2104
185	503	2203
186	506	2201
187	507	2193
188	509	2187
189	512	2186
190	515	2183
191	525	2211
192	527	2207
193	529	2198
194	531	2194
195	541	2221
196	544	2218
197	545	2209
198	558	2246
199	559	2238
200	561	2232
201	562	2223
202	565	2220
203	566	2212
204	569	2210
205	571	2202
206	574	2201
207	577	2197
208	582	2204
209	585	2202
210	589	2205
211	590	2196
212	593	2192
213	597	2195
214	600	2193
215	603	2189
216	605	2183
217	609	2185
218	612	2184
219	617	2189
220	620	2188
221	626	2194
222	631	2201
223	666	2308
224	675	2326
225	683	2341
226	685	2335
227	688	2329
228	694	2337
229	697	2335
230	699	2329
231	703	2328
232	707	2328
233	711	2327
234	713	2323
235	715	2316
236	717	2309
237	718	2301
238	720	2293
239	736	2331
240	739	2328
241	740	2320
242	743	2317
243	746	2312
244	747	2303
245	749	2298
246	752	2294
247	755	2291
248	809	2441
249	810	2432
250	811	2422
251	821	2437
252	826	2440
253	833	2447
254	835	2442
255	839	2439
256	855	2473
257	858	2468
258	861	2464
259	865	2464
260	868	2459
261	877	2472
262	882	2474
263	884	2465
264	885	2457
265	887	2449
266	893	2452
267	894	2443
268	895	2434
269	897	2426
270	898	2416
271	899	2407
272	900	2398
273	901	2389
274	902	2380
275	904	2371
276	905	2362
277	914	2375
278	916	2369
279	920	2366
280	921	2357
281	923	2350
282	924	2342
283	926	2334
284	927	2326
285	929	2321
286	931	2314
287	932	2305
288	934	2298
289	935	2290
290	938	2285
291	939	2278
292	941	2272
293	943	2264
294	944	2257
295	948	2255
296	949	2248
297	952	2244
298	954	2237
299	955	2229
300	956	2222
301	959	2217
302	960	2210
303	963	2205
304	968	2206
305	969	2199
306	971	2192
307	973	2187
308	975	2181
309	976	2174
310	978	2166
311	979	2159
312	981	2154
313	982	2147
314	984	2140
315	988	2139
316	1002	2159
317	1003	2151
318	1004	2144
319	1005	2137
320	1007	2130
321	1009	2124
322	1010	2117
323	1012	2111
324	1014	2106
325	1016	2101
326	1017	2094
327	1018	2087
328	1019	2080
329	1021	2073
