iter	Passed	Remaining
0	150	150637
1	152	76024
2	153	51084
3	154	38555
4	157	31259
5	161	26741
6	162	23100
7	164	20378
8	165	18236
9	169	16787
10	170	15348
11	171	14140
12	179	13623
13	181	12800
14	183	12036
15	184	11337
16	190	10996
17	191	10448
18	192	9940
19	193	9484
20	194	9077
21	196	8713
22	197	8374
23	198	8084
24	203	7917
25	204	7662
26	206	7432
27	208	7225
28	209	7007
29	210	6804
30	211	6623
31	213	6446
32	214	6281
33	219	6236
34	220	6083
35	221	5936
36	222	5797
37	223	5664
38	224	5541
39	225	5421
40	227	5309
41	228	5200
42	231	5162
43	233	5068
44	235	4995
45	236	4905
46	237	4821
47	238	4739
48	240	4658
49	241	4581
50	242	4519
51	246	4502
52	248	4443
53	249	4375
54	250	4308
55	252	4248
56	253	4195
57	254	4134
58	255	4079
59	256	4024
60	258	3972
61	261	3959
62	263	3913
63	264	3865
64	265	3822
65	267	3780
66	268	3742
67	270	3703
68	271	3658
69	272	3616
70	273	3582
71	276	3561
72	278	3534
73	279	3499
74	280	3461
75	282	3431
76	283	3397
77	284	3365
78	285	3332
79	289	3334
80	291	3304
81	292	3273
82	292	3236
83	294	3210
84	296	3195
85	298	3169
86	299	3140
87	300	3111
88	301	3083
89	305	3091
90	306	3064
91	307	3037
92	308	3010
93	310	2988
94	311	2964
95	312	2940
96	313	2916
97	314	2892
98	315	2869
99	316	2847
100	320	2848
101	321	2829
102	322	2808
103	323	2788
104	325	2775
105	326	2754
106	327	2734
107	329	2717
108	330	2698
109	331	2679
110	335	2689
111	337	2672
112	338	2656
113	339	2639
114	340	2621
115	341	2603
116	342	2584
117	343	2567
118	344	2550
119	345	2533
120	346	2517
121	347	2501
122	351	2509
123	353	2497
124	354	2483
125	356	2469
126	356	2453
127	358	2443
128	359	2428
129	360	2413
130	361	2398
131	365	2404
132	366	2390
133	367	2377
134	369	2368
135	370	2354
136	371	2341
137	372	2327
138	373	2314
139	374	2301
140	376	2290
141	376	2275
142	379	2272
143	381	2268
144	383	2260
145	386	2259
146	387	2248
147	388	2236
148	389	2225
149	390	2214
150	391	2203
151	396	2214
152	398	2203
153	399	2193
154	400	2182
155	401	2172
156	402	2161
157	403	2152
158	405	2142
159	406	2132
160	406	2119
161	407	2109
162	411	2113
163	414	2113
164	416	2108
165	417	2099
166	418	2089
167	419	2079
168	421	2070
169	422	2062
170	427	2072
171	428	2063
172	429	2054
173	431	2046
174	432	2037
175	433	2030
176	434	2021
177	435	2011
178	436	2002
179	437	1994
180	441	1996
181	442	1990
182	443	1982
183	445	1974
184	446	1966
185	447	1957
186	448	1949
187	449	1941
188	450	1933
189	451	1926
190	452	1918
191	453	1909
192	458	1915
193	459	1908
194	460	1900
195	461	1892
196	462	1884
197	463	1876
198	464	1869
199	467	1870
200	468	1862
201	471	1862
202	472	1856
203	473	1849
204	475	1842
205	476	1835
206	477	1830
207	478	1823
208	479	1816
209	480	1809
210	482	1802
211	482	1795
212	483	1788
213	488	1793
214	489	1786
215	490	1780
216	491	1773
217	492	1766
218	493	1758
219	494	1753
220	495	1746
221	496	1739
222	497	1733
223	498	1726
224	499	1720
225	504	1726
226	506	1724
227	508	1720
228	510	1717
229	511	1712
230	512	1706
231	517	1714
232	520	1711
233	521	1706
234	523	1703
235	524	1697
236	525	1691
237	526	1685
238	527	1679
239	528	1673
240	529	1667
241	534	1674
242	536	1671
243	539	1670
244	540	1665
245	541	1660
246	542	1653
247	543	1647
248	544	1641
249	545	1635
250	550	1643
251	552	1640
252	554	1636
253	555	1631
254	556	1625
255	557	1620
256	558	1614
257	559	1610
258	564	1614
259	565	1610
260	567	1606
261	571	1608
262	572	1603
263	573	1597
264	574	1592
265	575	1587
266	579	1591
267	580	1586
268	582	1583
269	583	1578
270	585	1573
271	585	1568
272	587	1563
273	587	1557
274	589	1552
275	592	1555
276	595	1553
277	596	1548
278	597	1543
279	598	1538
280	599	1533
281	600	1528
282	601	1523
283	603	1520
284	607	1523
285	609	1520
286	610	1515
287	611	1510
288	612	1506
289	613	1502
290	614	1497
291	615	1492
292	616	1487
293	617	1483
294	618	1479
295	632	1505
296	660	1564
297	662	1559
298	682	1599
299	683	1594
300	688	1597
301	720	1665
302	723	1663
303	723	1657
304	724	1651
305	727	1649
306	728	1644
307	729	1639
308	732	1637
309	733	1632
310	734	1627
311	735	1621
312	736	1616
313	737	1610
314	737	1604
315	739	1600
316	740	1595
317	743	1595
318	744	1589
319	746	1586
320	747	1581
321	749	1578
322	750	1573
323	751	1568
324	752	1562
325	753	1557
326	754	1553
327	755	1548
328	757	1544
329	758	1539
330	759	1534
331	759	1529
332	761	1524
333	761	1519
334	762	1514
335	763	1509
336	764	1504
337	765	1500
338	766	1495
339	767	1490
340	769	1486
341	770	1482
342	771	1478
343	772	1473
344	773	1468
345	774	1464
346	776	1460
347	777	1456
348	778	1451
349	779	1447
350	780	1443
351	781	1438
352	785	1438
353	786	1434
354	786	1429
355	788	1425
356	789	1421
357	790	1416
358	791	1412
359	792	1408
360	793	1403
361	794	1399
362	795	1395
363	795	1390
364	796	1386
365	800	1385
366	801	1381
367	802	1378
368	803	1374
369	804	1370
370	806	1366
371	807	1362
372	808	1358
373	809	1354
374	810	1350
375	811	1346
376	812	1341
377	814	1339
378	815	1335
379	816	1331
380	817	1327
381	818	1324
382	819	1320
383	820	1316
384	821	1312
385	823	1309
386	824	1305
387	825	1302
388	826	1298
389	829	1297
390	831	1294
391	832	1290
392	833	1287
393	835	1284
394	836	1281
395	837	1277
396	838	1273
397	839	1269
398	840	1265
399	841	1262
400	845	1262
401	846	1259
402	847	1255
403	848	1251
404	849	1247
405	850	1244
406	851	1240
407	852	1236
408	853	1233
409	854	1229
410	856	1226
411	859	1226
412	860	1223
